Site,PollDate,DeviceId,DeviceName,DeviceType,Manufacturer,IPAddress,State,LastOnline
00106,05/14/2023 15:35:34,0101,Chef,Chef,,10.116.64.180,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0201,PHU Main-1,PHU,,10.116.64.170,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0202,PHU Main-2,PHU,,10.116.64.171,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0203,PHU Spec-1,PHU,,10.116.64.181,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0204,PHU Spec-2,PHU,,10.116.64.182,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0301,Drive-Thru Director,DTD,,10.116.64.176,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0401,Inside DMB-1,IDMB,Sicom,10.116.64.162,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0402,Inside DMB-2,IDMB,Sicom,10.116.64.163,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0403,Inside DMB-3,IDMB,Sicom,10.116.64.164,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0404,Inside DMB-4,IDMB,Sicom,10.116.64.165,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0901,Lane-1 Disp-1,ODMB,Stratacache,10.122.64.168,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0902,OCU-1,OCU,Stratacache,10.122.64.169,Online,05/14/2023 15:35:34
00106,05/14/2023 15:35:34,0903,Lane-1 Disp-3,ODMB,Stratacache,10.122.64.170,Online,05/14/2023 15:35:34
00106,05/14/2023 14:36:40,1001,POS-1,POS,NCR,10.115.64.163,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1002,POS-2,POS,NCR,10.115.64.164,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1003,POS-3,POS,NCR,10.115.64.165,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1004,POS-4,POS,NCR,10.115.64.166,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1103,KC-3,KC,NCR,10.115.64.178,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1104,KC-4,KC,NCR,10.115.64.179,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1105,KC-5,KC,NCR,10.115.64.180,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1106,KC-6,KC,NCR,10.115.64.181,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1107,KC-7,KC,NCR,10.115.64.182,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1201,VF-1,VF,Verifone,10.115.64.185,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1202,VF-3,VF,Verifone,10.115.64.186,Online,05/14/2023 14:36:40
00106,05/14/2023 14:36:40,1203,VF-4,VF,Verifone,10.115.64.187,Online,05/14/2023 14:36:40
